Instance,Size,Best known,Algorithm,Runs,Feasible runs,Best cost,Mean cost,Median cost,Std dev,Worst cost,Best gap %,Mean gap %
P-n101-k4,101,681,qiea,10,10,681.00,681.00,681.00,0.00,681.00,0.00,0.00
P-n101-k4,101,681,qpso,10,10,681.00,681.80,681.00,1.48,685.00,0.00,0.12
P-n101-k4,101,681,random,10,10,682.00,686.00,686.00,2.54,690.00,0.15,0.73
P-n101-k4,101,681,sa,10,10,682.00,685.80,686.50,2.35,689.00,0.15,0.70
X-n101-k25,101,27591,aco,10,10,27960.00,28164.80,28183.00,81.99,28251.00,1.34,2.08
X-n101-k25,101,27591,ga,10,10,27892.00,27936.10,27924.50,41.00,28040.00,1.09,1.25
X-n101-k25,101,27591,ortools,10,10,29109.00,29109.00,29109.00,0.00,29109.00,5.50,5.50
X-n101-k25,101,27591,pso,10,10,28062.00,28158.70,28162.50,59.64,28257.00,1.71,2.06
X-n101-k25,101,27591,pyvrp,10,10,27591.00,27708.20,27653.00,127.27,27902.00,0.00,0.42
X-n101-k25,101,27591,qiea,10,10,27938.00,28038.00,27993.50,94.54,28194.00,1.26,1.62
X-n101-k25,101,27591,qpso,10,10,27892.00,28107.60,28089.00,122.16,28343.00,1.09,1.87
X-n101-k25,101,27591,random,10,10,28114.00,28257.70,28235.00,129.66,28479.00,1.90,2.42
X-n101-k25,101,27591,sa,10,10,28016.00,28129.20,28134.00,80.08,28218.00,1.54,1.95
X-n153-k22,153,21220,aco,10,10,22115.00,22453.10,22362.50,383.34,23367.00,4.22,5.81
X-n153-k22,153,21220,ga,10,10,22039.00,22285.20,22180.00,362.94,23228.00,3.86,5.02
X-n153-k22,153,21220,pso,10,10,21944.00,22519.40,22565.50,418.57,23369.00,3.41,6.12
X-n153-k22,153,21220,pyvrp,10,10,21310.00,21368.30,21377.50,27.88,21402.00,0.42,0.70
X-n153-k22,153,21220,qiea,10,10,22101.00,22480.00,22537.00,261.71,22798.00,4.15,5.94
X-n153-k22,153,21220,qpso,10,10,21654.00,22250.00,22307.00,362.73,22810.00,2.05,4.85
X-n153-k22,153,21220,random,10,10,22326.00,22686.30,22714.00,299.62,23307.00,5.21,6.91
X-n153-k22,153,21220,sa,10,10,21812.00,22057.30,21940.00,333.74,22842.00,2.79,3.95
X-n200-k36,200,58578,aco,10,10,60006.00,60312.60,60315.50,152.63,60629.00,2.44,2.96
X-n200-k36,200,58578,ga,10,10,60082.00,60249.00,60241.00,121.84,60436.00,2.57,2.85
X-n200-k36,200,58578,ortools,10,10,60743.00,60743.00,60743.00,0.00,60743.00,3.70,3.70
X-n200-k36,200,58578,pso,10,10,60341.00,60546.00,60544.50,105.34,60669.00,3.01,3.36
X-n200-k36,200,58578,pyvrp,10,10,58946.00,59486.90,59716.00,378.92,59835.00,0.63,1.55
X-n200-k36,200,58578,qiea,10,10,60158.00,60288.30,60293.50,83.77,60455.00,2.70,2.92
X-n200-k36,200,58578,qpso,10,10,60301.00,60513.60,60507.50,118.08,60700.00,2.94,3.30
X-n200-k36,200,58578,random,10,10,60438.00,60563.70,60555.50,72.23,60681.00,3.18,3.39
X-n200-k36,200,58578,sa,10,10,60386.00,60623.80,60652.00,113.93,60744.00,3.09,3.49
